N value,Iteration number,Number of instructions,Ins per cycle,Percentage of misses,Seconds time elapsed,Metrica
108,1,835370823,1.22,10.18,1.813100448,6435.310547
108,1,835370823,1.22,10.18,1.813100448,6435.310547
108,1,837638748,1.25,9.81,1.765822614,6609.814941
108,1,835370823,1.22,10.18,1.813100448,6435.310547
108,1,837638748,1.25,9.81,1.765822614,6609.814941
108,1,833810426,1.21,10.19,1.823011118,6400.823242
