N value,Iteration number,Number of instructions,Ins per cycle,Percentage of misses,Seconds time elapsed,Metrica
108,1,838856303,2.43,0.26,0.101308616,115960.546875
864,1,013818260,2.62,0.61,3.556186017,209945.593750
256,1,490801288,2.38,0.57,0.425366079,154450.781250
500,1,740442317,2.62,0.80,1.298889723,192626.031250
108,1,838856303,2.43,0.26,0.101308616,115960.546875
864,1,013818260,2.62,0.61,3.556186017,209945.593750
256,1,490801288,2.38,0.57,0.425366079,154450.781250
500,1,740442317,2.62,0.80,1.298889723,192626.031250
