N value,Iteration number,Number of instructions,Ins per cycle,Percentage of misses,Seconds time elapsed,Metrica
108,1,930639105,0.93,10.28,1.503267319,7765.888184
864,1,735050771,0.83,8.44,62.430709434,11951.779297
256,1,227629477,0.78,10.23,7.249022426,9037.013672
500,1,763311596,0.77,9.18,23.996304115,10414.124023
