# t Temp Pres Epot Etot
5.850086 2.003609 29.645325 -582.407593 -257.822937
5.900087 2.006974 30.521236 -565.029602 -239.899841
5.950089 1.952793 29.764015 -579.716858 -263.364410
6.000090 2.070111 27.342743 -624.992004 -289.634003
6.050091 1.926208 29.177710 -587.207336 -275.161713
6.100092 1.969035 29.552866 -581.721069 -262.737335
6.150093 2.051101 30.194202 -571.660583 -239.382172
6.200094 2.041565 28.339676 -607.341736 -276.608215
6.250095 1.960170 29.081152 -589.120361 -271.572784
6.300097 2.020306 30.397688 -567.448242 -240.158722
6.350098 2.018231 27.625507 -618.858826 -291.905396
6.400099 1.954309 27.899244 -611.868958 -295.270844
6.450100 2.058921 30.398970 -567.061768 -233.516632
6.500101 1.956666 27.114346 -626.422119 -309.442230
6.550102 1.981075 30.115023 -573.838440 -252.904266
6.600103 2.029139 29.881834 -577.478638 -248.758179
6.650105 2.036782 30.671513 -562.156372 -232.197662
6.700106 2.039093 27.769035 -615.691711 -285.358551
6.750107 2.024691 27.650135 -619.585754 -291.585754
6.800108 2.003653 29.056873 -592.418762 -267.827057
6.850109 2.035442 29.506250 -583.201355 -253.459808
6.900110 2.009466 28.555462 -601.800659 -276.267212
6.950111 1.984823 28.403934 -604.178589 -282.637329
7.000113 2.013566 31.517826 -543.220581 -217.022949
7.050114 2.023336 27.834238 -615.861328 -288.080963
7.100115 2.000982 27.763630 -616.243469 -292.084442
7.150116 1.902427 30.568077 -563.304688 -255.111542
7.200117 2.052819 29.525341 -585.001526 -252.444885
7.250118 2.027707 27.849604 -615.187683 -286.699097
7.300119 1.959592 28.619114 -598.284363 -280.830414
7.350121 1.997647 30.701885 -560.662720 -237.043945
7.400122 2.060339 29.823715 -577.865784 -244.090912
7.450123 2.034904 28.056320 -611.895203 -282.240845
7.500124 1.994945 17.589790 -645.079102 -321.898041
7.550125 1.986740 17.974289 -636.554871 -314.703064
7.600126 2.016625 17.189650 -652.235962 -325.542633
7.650127 1.992752 17.269335 -651.789185 -328.963318
7.700129 1.956364 18.937820 -618.399353 -301.468414
7.750130 2.044486 18.837486 -621.568970 -290.362244
7.800131 2.024882 18.496645 -627.222595 -299.191742
7.850132 1.985651 16.691530 -659.509521 -337.834106
7.900133 1.964501 16.695929 -662.624573 -344.375458
7.950134 2.020177 20.240202 -593.057495 -265.788849
8.000135 2.088136 17.249847 -652.027954 -313.749878
8.050137 2.022903 16.093540 -672.912720 -345.202423
8.100138 1.979139 16.537012 -666.145264 -345.524811
8.150139 1.991723 18.114660 -636.330872 -313.671753
8.200140 2.024532 19.987049 -600.258301 -272.284119
8.250141 2.034813 19.041134 -615.349976 -285.710327
8.300142 2.001698 17.608932 -644.596008 -320.320923
8.350143 2.001044 17.629063 -641.366272 -317.197113
8.400145 1.977404 16.968376 -657.121643 -336.782196
8.450146 2.003922 16.856529 -658.641357 -334.006073
8.500147 1.972240 17.028597 -657.794678 -338.291748
8.550148 1.998865 18.815273 -621.333130 -297.516937
8.600149 1.993416 17.639631 -641.345215 -318.411835
8.650150 2.001807 20.168024 -591.042725 -266.749939
8.700151 2.082500 19.164167 -614.485596 -277.120514
8.750153 2.038495 16.782364 -662.475708 -332.239594
8.800154 2.002879 17.755342 -640.819397 -316.352936
8.850155 2.020284 16.679882 -662.455933 -335.169952
