N value,Iteration number,Number of instructions,Ins per cycle,Percentage of misses,Seconds time elapsed,Metrica
108,1,7342013528,2.18,2.79,0.937532618,11664.000000
108,2,7342113452,2.18,2.84,0.942552907,11664.000000
864,1,319633550631,1.29,7.24,68.699908412,10897.751953
864,2,319617639044,1.28,7.29,68.822623411,10897.751953
256,1,32620146306,1.34,7.31,6.748553437,10082.461914
256,2,32623310025,1.33,7.34,6.795484233,10082.461914
2916,1,3465507183297,1.41,6.22,679.246175324,12522.910156
500,1,112329200698,1.27,7.58,24.466630020,10204.082031
500,2,112332407606,1.27,7.60,24.459710401,10204.082031
